,Planet Name,Host Name,Orbital Period,Discovery Method,Semi-Major Axis (AU),Eccentricity,Radius (R_earth),Mass or Mass * sin(i) (M_earth),Stellar Mass (M_sun)
3389,Kepler-271 b,Kepler-271,10.43547805,Transit,0.0881,0.0,1.23,2.04,0.9
3390,Kepler-271 c,Kepler-271,7.41086267,Transit,0.0702,0.0,0.95,0.809,0.9
3391,Kepler-271 d,Kepler-271,5.24972541,Transit,0.0558,0.0,0.66,0.219,0.9
3419,Kepler-282 b,Kepler-282,9.220524,Transit,0.082,0.0,1.01,1.01,0.79
3420,Kepler-282 c,Kepler-282,13.638723,Transit,0.106,0.0,1.2,1.87,0.79
3421,Kepler-282 d,Kepler-282,24.806,Transit,0.154,0.0,2.46,61.0,0.97
3447,Kepler-292 b,Kepler-292,2.580827,Transit,0.035,0.0,1.32,2.3,0.85
3448,Kepler-292 c,Kepler-292,3.715335,Transit,0.045,0.0,1.47,2.76,0.85
3449,Kepler-292 d,Kepler-292,7.055679,Transit,0.068,0.0,2.23,5.6,0.85
3528,Kepler-32 b,Kepler-32,5.90124,Transit,0.05,0.0,2.2,1303.0,0.58
3529,Kepler-32 c,Kepler-32,8.7522,Transit,0.09,0.0,2.0,158.9,0.58
3530,Kepler-32 d,Kepler-32,22.7802,Transit,0.13,0.0,2.7,7.75,0.58
3559,Kepler-33 d,Kepler-33,21.77596,Transit,0.1662,0.0,5.35,3.91,1.29
3560,Kepler-33 e,Kepler-33,31.7844,Transit,0.2138,0.0,4.02,5.57,1.29
3561,Kepler-33 f,Kepler-33,41.02902,Transit,0.2535,0.0,4.46,9.6,1.29
3582,Kepler-338 b,Kepler-338,13.726976,Transit,0.117,0.04,2.44,30.6,1.2
3583,Kepler-338 c,Kepler-338,24.310856,Transit,0.172,0.03,2.34,6.08,1.2
3585,Kepler-338 e,Kepler-338,9.341,Transit Timing Variations,0.0893,0.05,1.56,8.5,1.14
3586,Kepler-339 b,Kepler-339,4.977656,Transit,0.055,0.0,1.42,2.6,0.93
3587,Kepler-339 c,Kepler-339,6.988055,Transit,0.069,0.0,1.15,7.3,0.93
3588,Kepler-339 d,Kepler-339,10.558345,Transit,0.091,0.0,1.17,14.7,0.93
3621,Kepler-352 b,Kepler-352,10.05537,Transit,0.085,0.0,0.86,0.566,0.83
3622,Kepler-352 c,Kepler-352,16.332995,Transit,0.118,0.0,1.24,2.07,0.83
3623,Kepler-352 d,Kepler-352,6.88727999,Transit,0.0657,0.0,0.806,0.449,0.8
3693,Kepler-381 b,Kepler-381,5.629021,Transit,0.066,0.0,0.99,0.937,1.2
3694,Kepler-381 c,Kepler-381,13.391635,Transit,0.117,0.0,1.12,1.46,1.2
3695,Kepler-381 d,Kepler-381,8.25629997,Transit,0.085,0.0,1.067,1.23,1.2
3722,Kepler-394 b,Kepler-394,8.005013,Transit,0.083,0.0,1.6,3.19,1.13
3723,Kepler-394 c,Kepler-394,12.130686,Transit,0.11,0.0,1.66,3.39,1.13
3724,Kepler-394 d,Kepler-394,5.61358023,Transit,0.0646,0.0,1.501,2.86,1.14
3745,Kepler-402 c,Kepler-402,6.124821,Transit,0.068,0.0,1.56,3.05,1.15
3746,Kepler-402 d,Kepler-402,8.921099,Transit,0.087,0.0,1.38,2.48,1.15
3747,Kepler-402 e,Kepler-402,11.242861,Transit,0.102,0.0,1.46,2.73,1.15
3796,Kepler-431 b,Kepler-431,6.803,Transit,0.0719,0.0,0.764,0.37,1.07
3797,Kepler-431 c,Kepler-431,8.703,Transit,0.0847,0.0,0.668,0.229,1.07
3798,Kepler-431 d,Kepler-431,11.922,Transit,0.1045,0.0,1.11,1.41,1.07
3814,Kepler-444 b,Kepler-444,3.6001053,Transit,0.04178,0.16,0.403,0.0374,0.76
3815,Kepler-444 c,Kepler-444,4.5458841,Transit,0.04881,0.31,0.497,0.0793,0.76
3816,Kepler-444 d,Kepler-444,6.189392,Transit,0.06,0.18,0.53,0.2,0.76
3817,Kepler-444 e,Kepler-444,7.743493,Transit,0.0696,0.1,0.546,0.1,0.76
3818,Kepler-444 f,Kepler-444,9.740486,Transit,0.0811,0.29,0.741,0.332,0.76
4041,Kepler-60 b,Kepler-60,7.1334,Transit,0.0719,0.0,1.71,4.19,1.04
4042,Kepler-60 c,Kepler-60,8.9187,Transit,0.0835,0.0,1.9,3.85,1.04
4043,Kepler-60 d,Kepler-60,11.8981,Transit,0.1012,0.0,1.99,4.16,1.04
4074,Kepler-62 c,Kepler-62,12.4417,Transit,0.0929,0.0,0.54,4.0,0.69
4075,Kepler-62 d,Kepler-62,18.16406,Transit,0.12,0.0,1.95,14.0,0.69
4076,Kepler-62 e,Kepler-62,122.3874,Transit,0.427,0.0,1.61,36.0,0.69
4113,Kepler-65 c,Kepler-65,5.859944,Transit,0.068,0.02,2.58,5.4,1.25
4114,Kepler-65 d,Kepler-65,8.13123,Transit,0.084,0.014,1.52,4.14,1.25
4115,Kepler-65 e,Kepler-65,258.8,Radial Velocity,,0.283,13.9,260.0,1.25
4241,Kepler-758 b,Kepler-758,12.1097104,Transit,0.1019,0.0,2.48,6.71,1.16
4243,Kepler-758 d,Kepler-758,20.4966197,Transit,0.1447,0.0,2.12,5.14,1.16
4244,Kepler-758 e,Kepler-758,8.1934719,Transit,0.0785,0.0,1.53,2.96,1.16
4300,Kepler-80 b,Kepler-80,7.05246,Transit,0.0648,0.0,2.67,6.93,0.73
4301,Kepler-80 c,Kepler-80,9.52355,Transit,0.0792,0.0,2.74,6.74,0.73
4305,Kepler-80 g,Kepler-80,14.64558,Transit,,,1.13,1.51,0.83
4359,Kepler-84 b,Kepler-84,8.726,Transit,0.0827,0.0,2.23,40.0,1.0
4360,Kepler-84 c,Kepler-84,12.883,Transit,0.1072,0.0,2.36,20.2,1.0
4362,Kepler-84 e,Kepler-84,27.434389,Transit,0.181,0.0,2.6,7.27,1.06
4374,Kepler-85 c,Kepler-85,12.513,Transit,0.1007,0.0,2.18,20.9,0.92
4375,Kepler-85 d,Kepler-85,17.91323,Transit,0.13,0.0,1.2,1.87,0.87
4376,Kepler-85 e,Kepler-85,25.216751,Transit,0.163,0.0,1.27,0.6,0.92
4433,Kepler-90 i,KOI-351,14.44912,Transit,,,1.32,2.3,1.12
4789,TOI-1136 b,TOI-1136,4.17278,Transit,,0.031,1.9,4.27,1.02
4790,TOI-1136 c,TOI-1136,6.25725,Transit,,0.117,2.879,8.64,1.02
4791,TOI-1136 d,TOI-1136,12.51937,Transit,,0.016,4.627,19.3,1.02
4792,TOI-1136 e,TOI-1136,18.7992,Transit,,0.057,2.639,7.46,1.02
4793,TOI-1136 f,TOI-1136,26.3162,Transit,,0.012,3.88,14.3,1.02
4794,TOI-1136 g,TOI-1136,39.5387,Transit,,0.036,2.53,6.94,1.02
4801,TOI-1246 b,TOI-1246,4.30744,Transit,0.049,,3.01,8.1,0.87
4802,TOI-1246 c,TOI-1246,5.904144,Transit,0.061,,2.51,8.8,0.87
4803,TOI-1246 d,TOI-1246,18.6559,Transit,0.131,,3.51,5.3,0.87
4995,TRAPPIST-1 f,TRAPPIST-1,9.20754,Transit,0.03849,0.01007,1.045,1.039,0.09
4996,TRAPPIST-1 g,TRAPPIST-1,12.352446,Transit,0.04683,0.00208,1.129,1.321,0.09
4997,TRAPPIST-1 h,TRAPPIST-1,18.772866,Transit,0.06189,0.00567,0.755,0.326,0.09
